1,Aniko,1,2026-04-01,14:45,15:00,BOOKED,null,null,null,null
2,Aniko,1,2026-04-01,14:45,15:00,BOOKED,null,null,null,null
3,Aniko,1,2026-04-01,14:45,15:00,BOOKED,null,null,null,null
4,Aniko,1,2026-04-01,14:45,15:00,BOOKED,null,null,null,null
5,nick,45100123,2026-04-22,15:00,23:45,BOOKED,null,null,null,null
6,Isak,61333379,2026-04-01,12:00,12:30,BOOKED,null,null,null,null
6,Nick,12345678,2026-04-02,12:00,12:30,BOOKED,null,null,null,null
7,Isak Pais,61333379,2026-03-19,12:00,12:30,BOOKED,null,null,null,null
8,asd,asd,2026-03-20,11:00,12:00,BOOKED,null,null,null,null
9,asd,123,2026-04-01,13:00,14:00,BOOKED,null,null,null,null
10,d,a,2026-04-01,15:00,16:00,BOOKED,null,null,null,null
